Sr No,Fund Name,AmfiCode,Nav Date,Nav,Benchmark Name,Benchmark Value
899,Kotak Equity Opportunities Fund,120158,29-Aug-2016,94.426,Nifty LargeMidcap 250 TRI,5386.02
900,Kotak Equity Opportunities Fund,120158,30-Aug-2016,95.662,Nifty LargeMidcap 250 TRI,5456.71
901,Kotak Equity Opportunities Fund,120158,31-Aug-2016,96.666,Nifty LargeMidcap 250 TRI,5475.04
902,Kotak Equity Opportunities Fund,120158,01-Sep-2016,96.328,Nifty LargeMidcap 250 TRI,5458.4
903,Kotak Equity Opportunities Fund,120158,02-Sep-2016,96.802,Nifty LargeMidcap 250 TRI,5483.46
904,Kotak Equity Opportunities Fund,120158,06-Sep-2016,98.509,Nifty LargeMidcap 250 TRI,5561.35
905,Kotak Equity Opportunities Fund,120158,07-Sep-2016,98.383,Nifty LargeMidcap 250 TRI,5560.67
906,Kotak Equity Opportunities Fund,120158,08-Sep-2016,98.882,Nifty LargeMidcap 250 TRI,5591.37
907,Kotak Equity Opportunities Fund,120158,09-Sep-2016,98.106,Nifty LargeMidcap 250 TRI,5547.91
908,Kotak Equity Opportunities Fund,120158,12-Sep-2016,96.278,Nifty LargeMidcap 250 TRI,5422.03
909,Kotak Equity Opportunities Fund,120158,14-Sep-2016,96.872,Nifty LargeMidcap 250 TRI,5462.25
910,Kotak Equity Opportunities Fund,120158,15-Sep-2016,96.656,Nifty LargeMidcap 250 TRI,5468.74
911,Kotak Equity Opportunities Fund,120158,16-Sep-2016,96.919,Nifty LargeMidcap 250 TRI,5479.23
912,Kotak Equity Opportunities Fund,120158,19-Sep-2016,97.055,Nifty LargeMidcap 250 TRI,5500.89
913,Kotak Equity Opportunities Fund,120158,20-Sep-2016,96.587,Nifty LargeMidcap 250 TRI,5479.98
914,Kotak Equity Opportunities Fund,120158,21-Sep-2016,96.649,Nifty LargeMidcap 250 TRI,5481.69
915,Kotak Equity Opportunities Fund,120158,22-Sep-2016,97.888,Nifty LargeMidcap 250 TRI,5542.96
916,Kotak Equity Opportunities Fund,120158,23-Sep-2016,97.908,Nifty LargeMidcap 250 TRI,5541.23
917,Kotak Equity Opportunities Fund,120158,26-Sep-2016,97.139,Nifty LargeMidcap 250 TRI,5494.02
918,Kotak Equity Opportunities Fund,120158,27-Sep-2016,97.005,Nifty LargeMidcap 250 TRI,5493.22
919,Kotak Equity Opportunities Fund,120158,28-Sep-2016,97.679,Nifty LargeMidcap 250 TRI,5535.76
920,Kotak Equity Opportunities Fund,120158,29-Sep-2016,95.899,Nifty LargeMidcap 250 TRI,5387.74
921,Kotak Equity Opportunities Fund,120158,30-Sep-2016,96.764,Nifty LargeMidcap 250 TRI,5450.56
922,Kotak Equity Opportunities Fund,120158,03-Oct-2016,98.635,Nifty LargeMidcap 250 TRI,5562.06
923,Kotak Equity Opportunities Fund,120158,04-Oct-2016,99.214,Nifty LargeMidcap 250 TRI,5594.69
924,Kotak Equity Opportunities Fund,120158,05-Oct-2016,99.143,Nifty LargeMidcap 250 TRI,5607.22
925,Kotak Equity Opportunities Fund,120158,06-Oct-2016,99.003,Nifty LargeMidcap 250 TRI,5585.47
926,Kotak Equity Opportunities Fund,120158,07-Oct-2016,98.74,Nifty LargeMidcap 250 TRI,5577.38
927,Kotak Equity Opportunities Fund,120158,10-Oct-2016,98.663,Nifty LargeMidcap 250 TRI,5580.74
928,Kotak Equity Opportunities Fund,120158,13-Oct-2016,97.812,Nifty LargeMidcap 250 TRI,5503.85
929,Kotak Equity Opportunities Fund,120158,14-Oct-2016,98.467,Nifty LargeMidcap 250 TRI,5529.5
930,Kotak Equity Opportunities Fund,120158,17-Oct-2016,97.896,Nifty LargeMidcap 250 TRI,5480.68
931,Kotak Equity Opportunities Fund,120158,18-Oct-2016,99.01,Nifty LargeMidcap 250 TRI,5568.57
932,Kotak Equity Opportunities Fund,120158,19-Oct-2016,98.934,Nifty LargeMidcap 250 TRI,5568.06
933,Kotak Equity Opportunities Fund,120158,20-Oct-2016,99.098,Nifty LargeMidcap 250 TRI,5588.1
934,Kotak Equity Opportunities Fund,120158,21-Oct-2016,99.229,Nifty LargeMidcap 250 TRI,5597.93
935,Kotak Equity Opportunities Fund,120158,24-Oct-2016,99.478,Nifty LargeMidcap 250 TRI,5603.17
936,Kotak Equity Opportunities Fund,120158,25-Oct-2016,99.57,Nifty LargeMidcap 250 TRI,5597.29
937,Kotak Equity Opportunities Fund,120158,26-Oct-2016,98.751,Nifty LargeMidcap 250 TRI,5552.1
938,Kotak Equity Opportunities Fund,120158,27-Oct-2016,98.245,Nifty LargeMidcap 250 TRI,5522.17
939,Kotak Equity Opportunities Fund,120158,28-Oct-2016,98.709,Nifty LargeMidcap 250 TRI,5566.86
940,Kotak Equity Opportunities Fund,120158,01-Nov-2016,98.793,Nifty LargeMidcap 250 TRI,5581.76
941,Kotak Equity Opportunities Fund,120158,02-Nov-2016,97.373,Nifty LargeMidcap 250 TRI,5492.89
942,Kotak Equity Opportunities Fund,120158,03-Nov-2016,96.887,Nifty LargeMidcap 250 TRI,5448.4
943,Kotak Equity Opportunities Fund,120158,04-Nov-2016,96.295,Nifty LargeMidcap 250 TRI,5382.8
944,Kotak Equity Opportunities Fund,120158,07-Nov-2016,97.162,Nifty LargeMidcap 250 TRI,5422.93
945,Kotak Equity Opportunities Fund,120158,08-Nov-2016,97.668,Nifty LargeMidcap 250 TRI,5449.5
946,Kotak Equity Opportunities Fund,120158,09-Nov-2016,96.189,Nifty LargeMidcap 250 TRI,5348.47
947,Kotak Equity Opportunities Fund,120158,10-Nov-2016,97.451,Nifty LargeMidcap 250 TRI,5427.32
948,Kotak Equity Opportunities Fund,120158,11-Nov-2016,94.464,Nifty LargeMidcap 250 TRI,5256.97
949,Kotak Equity Opportunities Fund,120158,15-Nov-2016,91.343,Nifty LargeMidcap 250 TRI,5085.05
950,Kotak Equity Opportunities Fund,120158,16-Nov-2016,91.505,Nifty LargeMidcap 250 TRI,5094.13
951,Kotak Equity Opportunities Fund,120158,17-Nov-2016,91.124,Nifty LargeMidcap 250 TRI,5075.58
